Neighborhood,City,Numbeo,Airbnb,Total,Single person estimate
Areeiro,Lisboa,2000,600,2600,1200
吉祥寺,東京,3500,2000,5500,3050
Zuid-oost,Amsterdam,3300,1300,4600,2290
Oostelijk Havengebied,Amsterdam,3300,1300,4600,2290
本町,金沢,3200,1600,4800,2560
赤羽、北区,東京,3500,1700,5200,2750
練馬区,東京,3500,1000,4500,2050
Trindade,Florianópolis,1300,415,1715,805
West Midlands,Birmingham,2500,1000,3500,1750
Tallin University,Tallin,2300,600,2900,1290
해운대,부산,3000,700,3700,1600
West End,Brisbane,3500,1300,4800,2350
Zizkov,Praha,2000,650,2650,1250
